행정구역별(읍면동),2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명),총인구 (명),남자 (명),여자 (명)
청양군,31653,15841,15812,31440,15722,15718,31299,15692,15607,31181,15739,15442,30783,15600,15183
홍성군,94114,47283,46831,100739,50375,50364,103048,51438,51610,103044,51478,51566,102791,51530,51261
예산군,81747,41150,40597,79425,40161,39264,78678,39916,38762,79136,40273,38863,78963,40300,38663
태안군,59723,30333,29390,60641,30960,29681,61170,31411,29759,60948,31253,29695,60896,31367,29529
전라북도,1834114,915729,918385,1833168,915493,917675,1826174,911592,914582,1818157,907683,910474,1807423,902704,904719
읍부,156255,78402,77853,157965,79408,78557,159280,79965,79315,158711,79872,78839,156875,78890,77985
면부,380514,188924,191590,376315,187122,189193,371933,185442,186491,368494,184244,184250,363012,181958,181054
동부,1297345,648403,648942,1298888,648963,649925,1294961,646185,648776,1290952,643567,647385,1287536,641856,645680
전주시,658172,325652,332520,657766,325061,332705,656956,324695,332261,658912,325610,333302,662086,327260,334826
완산구,367243,180484,186759,365260,179224,186036,362132,177542,184590,348108,170114,177994,341123,166781,174342
덕진구,290929,145168,145761,292506,145837,146669,294824,147153,147671,310804,155496,155308,320963,160479,160484
군산시,275155,141399,133756,276394,141847,134547,273649,139957,133692,272204,139076,133128,270635,138144,132491
익산시,301723,151707,150016,300929,151324,149605,298928,150084,148844,294787,147902,146885,290119,145682,144437
정읍시,110627,54898,55729,109968,54687,55281,109263,54322,54941,108271,53890,54381,107348,53527,53821
남원시,80499,39380,41119,80076,39215,40861,79282,38900,40382,78487,38400,40087,77690,38019,39671
김제시,84269,41856,42413,82888,41139,41749,82358,40867,41491,81410,40538,40872,80422,40068,40354
완주군,95357,48888,46469,97340,49858,47482,98528,50529,47999,98002,50411,47591,96212,49610,46602
진안군,22886,11158,11728,22847,11295,11552,22998,11388,11610,23306,11594,11712,23013,11446,11567
무주군,23408,11503,11905,23129,11416,11713,23195,11478,11717,23058,11436,11622,22852,11323,11529
장수군,21620,10634,10986,21607,10643,10964,21395,10544,10851,21281,10526,10755,21267,10544,10723
임실군,25935,12791,13144,26229,13131,13098,26409,13256,13153,26377,13238,13139,26144,13099,13045
순창군,26707,12779,13928,26814,12799,14015,27017,12875,14142,27136,12961,14175,26642,12782,13860
고창군,55665,27464,28201,55326,27440,27886,54947,27298,27649,54425,27004,27421,53260,26405,26855
부안군,52091,25620,26471,51855,25638,26217,51249,25399,25850,50501,25097,25404,49733,24795,24938
전라남도,1799044,900967,898077,1796017,901500,894517,1792319,899077,893242,1790352,900154,890198,1787543,901813,885730
읍부,432653,217593,215060,431532,217441,214091,430043,216052,213991,431659,217200,214459,434488,219553,214935
면부,584676,287442,297234,577515,285353,292162,576744,285396,291348,575168,286095,289073,572417,286705,285712
동부,781715,395932,385783,786970,398706,388264,785532,397629,387903,783525,396859,386666,780638,395555,385083
목포시,239524,120500,119024,237484,119424,118060,233948,117464,116484,231798,116258,115540,228876,114854,114022
여수시,273761,139565,134196,273925,140153,133772,271741,139146,132595,270947,139229,131718,270283,139231,131052
순천시,265390,132329,133061,266519,132865,133654,266809,132657,134152,268284,133555,134729,270202,134542,135660
나주시,92582,46188,46394,98221,48778,49443,105579,52440,53139,109862,54658,55204,112101,55881,56220
광양시,144414,74195,70219,144364,74452,69912,144010,74408,69602,144027,74530,69497,143656,74523,69133
담양군,43634,21499,22135,43519,21482,22037,43781,21631,22150,43749,21648,22101,43804,21950,21854
곡성군,28617,13764,14853,28718,13938,14780,28768,13927,14841,28116,13619,14497,27858,13690,14168
구례군,24595,11893,12702,24278,11718,12560,24420,11767,12653,24246,11669,12577,23836,11471,12365
고흥군,62477,30075,32402,61690,29849,31841,60984,29552,31432,60664,29495,31169,60332,29496,30836
보성군,40688,19495,21193,40125,19257,20868,39942,19109,20833,39373,18873,20500,38339,18442,19897
화순군,61380,29583,31797,61018,29499,31519,60566,29246,31320,60040,29062,30978,59671,28900,30771
장흥군,36890,17843,19047,36481,17664,18817,36275,17657,18618,35875,17450,18425,35494,17250,18244
강진군,35126,16754,18372,34102,16399,17703,33637,16212,17425,33298,15988,17310,32805,15757,17048
해남군,69237,33940,35297,68342,33556,34786,67123,33016,34107,66209,32767,33442,65175,32434,32741
영암군,61535,33155,28380,60329,32389,27940,57679,30540,27139,57175,30312,26863,57476,30908,26568
무안군,80521,40472,40049,81280,41016,40264,81420,41022,40398,81324,41131,40193,81789,41571,40218
함평군,31367,15387,15980,30829,15249,15580,30948,15284,15664,30600,15180,15420,30556,15229,15327
영광군,51007,25292,25715,49992,24859,25133,49670,24720,24950,49570,24724,24846,50004,25007,24997
장성군,42058,20966,21092,41159,20621,20538,41663,20843,20820,41850,20976,20874,42193,21369,20824
완도군,48468,24624,23844,48349,24784,23565,48332,24865,23467,48340,25092,23248,48366,25336,23030
진도군,29538,14648,14890,29504,14867,14637,29432,14921,14511,29366,15065,14301,29295,15134,14161
신안군,36235,18800,17435,35789,18681,17108,35592,18650,16942,35639,18873,16766,35432,18838,16594
경상북도,2680294,1351037,1329257,2682169,1354997,1327172,2677058,1353083,1323975,2672902,1352869,1320033,2668154,1352404,1315750
읍부,605054,307935,297119,606125,309209,296916,605455,309249,296206,605788,309749,296039,606582,310685,295897
